Humidity,Gaming_Hours,Physical_Activity_Hours,Age,Screen_Time_Hours,Source,Step_count,Quality of Sleep,User_ID,Stress_Level,Occupation,Support_Systems_Access,Stress Level,Mental_Health_Status,Temperature,Gender,Sleep Duration,Work_Environment_Impact,Sleep_Hours,Physical Activity Level,Person ID,Technology_Usage_Hours,Online_Support_Usage,Social_Media_Usage_Hours,Unnamed: 8
,2.86,9.74,29,8.05,tech.csv,,,USER-00032,Medium,,No,,Fair,,Female,,Positive,6.24,,,11.8,Yes,6.11,
,2.47,3.69,55,5.32,tech.csv,,,USER-00033,High,,No,,Poor,,Female,,Negative,4.4,,,11.51,No,1.42,
,3.53,7.84,30,2.41,tech.csv,,,USER-00034,Low,,No,,Good,,Male,,Negative,5.02,,,1.33,Yes,3.53,
,0.61,7.99,47,1.69,tech.csv,,,USER-00035,Low,,Yes,,Fair,,Male,,Neutral,7.1,,,9.91,No,4.52,
,1.75,8.17,37,13.89,tech.csv,,,USER-00036,Low,,Yes,,Poor,,Male,,Negative,5.77,,,5.66,No,7.42,
,0.9,0.74,41,11.1,tech.csv,,,USER-00037,Low,,Yes,,Poor,,Other,,Positive,7.98,,,11.76,No,6.25,
,1.1,4.69,44,12.79,tech.csv,,,USER-00038,Low,,No,,Good,,Female,,Positive,4.47,,,6.65,Yes,4.66,
,4.69,2.25,23,5.37,tech.csv,,,USER-00039,Low,,Yes,,Excellent,,Male,,Positive,4.7,,,10.87,Yes,2.98,
,2.64,5.61,21,14.2,tech.csv,,,USER-00040,High,,Yes,,Good,,Other,,Neutral,6.98,,,10.43,No,2.2,
,3.62,5.26,48,1.22,tech.csv,,,USER-00041,Low,,Yes,,Fair,,Male,,Neutral,6.7,,,7.05,Yes,1.62,
,2.46,8.4,57,13.84,tech.csv,,,USER-00042,Medium,,No,,Excellent,,Male,,Negative,7.59,,,1.04,Yes,1.95,
,2.95,4.1,47,14.35,tech.csv,,,USER-00043,High,,No,,Excellent,,Other,,Neutral,5.0,,,10.6,Yes,6.15,
,0.81,3.62,50,14.03,tech.csv,,,USER-00044,Low,,Yes,,Good,,Male,,Negative,5.73,,,4.45,Yes,4.5,
,0.73,2.28,24,8.14,tech.csv,,,USER-00045,High,,Yes,,Poor,,Other,,Neutral,8.47,,,7.0,No,4.06,
,1.97,0.9,23,8.76,tech.csv,,,USER-00046,High,,Yes,,Excellent,,Female,,Neutral,4.46,,,2.06,No,5.93,
,2.33,1.48,30,2.75,tech.csv,,,USER-00047,Medium,,Yes,,Good,,Female,,Positive,4.38,,,3.34,No,4.26,
,4.85,3.3,30,1.78,tech.csv,,,USER-00048,Medium,,No,,Excellent,,Other,,Negative,6.58,,,6.01,No,1.5,
,1.96,2.07,45,6.9,tech.csv,,,USER-00049,Medium,,No,,Poor,,Male,,Negative,8.02,,,2.95,No,3.16,
,2.76,8.6,38,1.2,tech.csv,,,USER-00050,Low,,No,,Excellent,,Female,,Neutral,4.41,,,3.06,Yes,0.82,
,1.97,4.22,37,5.84,tech.csv,,,USER-00051,High,,Yes,,Excellent,,Female,,Neutral,4.35,,,4.53,Yes,5.02,
,3.91,0.33,57,7.22,tech.csv,,,USER-00052,High,,No,,Fair,,Other,,Negative,8.96,,,2.95,Yes,1.48,
,1.64,9.31,23,14.31,tech.csv,,,USER-00053,Medium,,No,,Excellent,,Male,,Neutral,5.53,,,7.29,Yes,7.47,
,2.46,0.52,59,6.25,tech.csv,,,USER-00054,Medium,,No,,Good,,Other,,Positive,7.1,,,11.63,Yes,4.96,
,1.51,2.99,60,8.23,tech.csv,,,USER-00055,Medium,,No,,Fair,,Other,,Negative,4.62,,,5.55,No,7.83,
,2.29,4.2,40,9.01,tech.csv,,,USER-00056,High,,Yes,,Poor,,Male,,Neutral,7.35,,,9.24,No,7.78,
,1.54,1.84,62,8.35,tech.csv,,,USER-00057,High,,Yes,,Fair,,Female,,Negative,6.03,,,6.98,Yes,3.38,
,2.39,9.67,44,5.94,tech.csv,,,USER-00058,Medium,,No,,Poor,,Male,,Negative,8.2,,,5.55,No,5.35,
,1.58,4.32,28,4.74,tech.csv,,,USER-00059,High,,Yes,,Fair,,Other,,Neutral,4.63,,,5.32,Yes,6.4,
,2.66,4.82,59,8.57,tech.csv,,,USER-00060,Low,,Yes,,Fair,,Male,,Negative,8.6,,,11.15,No,7.07,
,3.15,9.41,39,2.4,tech.csv,,,USER-00061,Low,,No,,Poor,,Female,,Negative,4.08,,,4.53,No,3.21,
,4.15,8.89,32,5.66,tech.csv,,,USER-00062,Medium,,Yes,,Excellent,,Female,,Positive,5.37,,,3.22,Yes,2.13,
,4.16,8.36,55,12.86,tech.csv,,,USER-00063,Low,,Yes,,Poor,,Male,,Positive,8.64,,,3.73,Yes,1.41,
,1.23,1.1,49,13.36,tech.csv,,,USER-00064,Medium,,No,,Fair,,Female,,Negative,6.16,,,4.22,Yes,4.3,
,1.43,1.73,34,13.46,tech.csv,,,USER-00065,Medium,,Yes,,Good,,Other,,Positive,7.59,,,7.93,No,2.95,
,1.64,9.5,21,13.2,tech.csv,,,USER-00066,Low,,Yes,,Excellent,,Other,,Neutral,6.77,,,5.95,No,5.04,
,2.55,2.6,25,6.4,tech.csv,,,USER-00067,High,,Yes,,Fair,,Female,,Neutral,4.13,,,11.56,No,2.03,
,1.06,6.66,40,14.73,tech.csv,,,USER-00068,Low,,No,,Fair,,Male,,Positive,8.38,,,9.98,Yes,3.74,
,2.1,1.89,53,1.07,tech.csv,,,USER-00069,Medium,,Yes,,Good,,Male,,Negative,5.2,,,1.47,No,4.36,
,3.97,3.83,60,1.36,tech.csv,,,USER-00070,Medium,,No,,Poor,,Male,,Neutral,8.96,,,5.7,No,5.84,
,1.55,2.24,55,8.34,tech.csv,,,USER-00071,Medium,,Yes,,Excellent,,Female,,Positive,7.89,,,3.58,Yes,6.62,
,0.43,7.53,62,13.61,tech.csv,,,USER-00072,Low,,No,,Good,,Female,,Neutral,4.39,,,8.3,Yes,4.01,
,2.86,9.86,40,9.66,tech.csv,,,USER-00073,High,,No,,Excellent,,Other,,Neutral,4.07,,,7.22,No,3.36,
,3.19,3.66,33,6.26,tech.csv,,,USER-00074,Low,,No,,Good,,Female,,Positive,5.92,,,9.63,Yes,2.89,
,4.04,9.37,57,2.37,tech.csv,,,USER-00075,Medium,,Yes,,Fair,,Male,,Negative,5.48,,,5.13,No,0.63,
,0.62,5.28,27,8.65,tech.csv,,,USER-00076,High,,Yes,,Poor,,Female,,Negative,8.01,,,1.79,Yes,2.5,
,4.68,7.89,47,1.2,tech.csv,,,USER-00077,Medium,,No,,Fair,,Female,,Neutral,6.43,,,11.46,Yes,4.81,
,1.09,8.62,32,14.62,tech.csv,,,USER-00078,High,,Yes,,Excellent,,Other,,Negative,4.31,,,10.7,No,6.0,
,4.94,3.44,59,6.37,tech.csv,,,USER-00079,Medium,,No,,Poor,,Other,,Positive,7.47,,,8.72,No,4.89,
,2.25,5.63,21,13.77,tech.csv,,,USER-00080,Low,,Yes,,Excellent,,Male,,Positive,7.61,,,6.24,Yes,0.37,
,4.63,4.38,50,4.71,tech.csv,,,USER-00081,Medium,,Yes,,Good,,Other,,Neutral,6.48,,,8.45,Yes,1.31,
,1.63,9.1,50,1.81,tech.csv,,,USER-00082,Medium,,No,,Poor,,Male,,Negative,7.54,,,2.02,No,5.62,
,1.25,0.23,59,8.02,tech.csv,,,USER-00083,Low,,No,,Poor,,Female,,Neutral,4.78,,,7.26,No,6.64,
,2.3,1.21,48,1.13,tech.csv,,,USER-00084,Low,,Yes,,Excellent,,Other,,Neutral,7.5,,,6.51,No,2.21,
,3.01,8.2,18,4.47,tech.csv,,,USER-00085,Low,,No,,Excellent,,Female,,Neutral,4.52,,,4.77,Yes,6.24,
,1.22,0.46,36,9.26,tech.csv,,,USER-00086,High,,No,,Poor,,Other,,Positive,6.63,,,7.66,No,0.11,
,0.55,6.27,44,10.89,tech.csv,,,USER-00087,Medium,,Yes,,Fair,,Other,,Neutral,4.03,,,5.54,No,1.17,
,1.44,0.85,60,6.69,tech.csv,,,USER-00088,High,,No,,Poor,,Female,,Positive,8.13,,,1.69,No,7.5,
,3.19,2.22,19,8.07,tech.csv,,,USER-00089,Medium,,Yes,,Fair,,Other,,Neutral,4.77,,,11.33,Yes,2.4,
,1.4,9.79,64,1.02,tech.csv,,,USER-00090,High,,Yes,,Fair,,Female,,Negative,4.99,,,3.1,Yes,3.56,
,1.58,2.66,22,13.31,tech.csv,,,USER-00091,Medium,,No,,Good,,Female,,Neutral,4.34,,,11.11,Yes,1.5,
,3.76,4.65,51,7.5,tech.csv,,,USER-00092,Low,,No,,Good,,Female,,Negative,4.28,,,9.65,Yes,5.54,
,3.43,3.5,40,6.95,tech.csv,,,USER-00093,Medium,,No,,Excellent,,Female,,Neutral,8.23,,,1.16,No,0.17,
,3.66,2.24,28,3.87,tech.csv,,,USER-00094,Low,,Yes,,Good,,Other,,Positive,5.11,,,5.03,Yes,2.43,
,0.03,4.05,23,7.96,tech.csv,,,USER-00095,Medium,,Yes,,Poor,,Female,,Positive,6.33,,,3.4,Yes,1.01,
,1.58,8.36,51,10.28,tech.csv,,,USER-00096,Low,,No,,Poor,,Other,,Neutral,7.69,,,3.16,Yes,7.44,
,1.02,2.79,48,11.19,tech.csv,,,USER-00097,Medium,,Yes,,Fair,,Male,,Neutral,6.68,,,9.01,No,6.8,
,3.81,6.66,44,2.61,tech.csv,,,USER-00098,Medium,,No,,Good,,Male,,Negative,8.82,,,1.51,No,3.04,
,0.5,2.28,34,8.08,tech.csv,,,USER-00099,High,,Yes,,Poor,,Female,,Negative,4.8,,,4.61,Yes,6.27,
,1.95,4.83,51,14.71,tech.csv,,,USER-00100,Low,,Yes,,Excellent,,Male,,Positive,5.17,,,8.68,Yes,3.66,
,2.22,4.89,35,13.41,tech.csv,,,USER-00101,Low,,No,,Poor,,Female,,Positive,8.76,,,5.44,No,4.65,
,3.33,1.85,46,12.43,tech.csv,,,USER-00102,High,,No,,Good,,Female,,Negative,5.88,,,6.35,No,4.4,
,0.69,3.41,60,3.5,tech.csv,,,USER-00103,High,,Yes,,Poor,,Other,,Positive,4.09,,,5.04,Yes,0.55,
,0.63,5.12,59,6.53,tech.csv,,,USER-00104,Low,,No,,Excellent,,Male,,Positive,4.79,,,6.65,No,1.98,
,0.11,2.96,29,6.69,tech.csv,,,USER-00105,Medium,,Yes,,Fair,,Female,,Neutral,7.66,,,2.04,Yes,1.5,
,3.31,7.96,45,6.73,tech.csv,,,USER-00106,Low,,Yes,,Fair,,Other,,Positive,7.72,,,3.62,No,4.73,
,4.6,8.28,35,6.88,tech.csv,,,USER-00107,Low,,No,,Fair,,Other,,Negative,8.33,,,6.8,Yes,6.16,
,4.2,2.34,63,2.1,tech.csv,,,USER-00108,Low,,Yes,,Excellent,,Male,,Negative,8.24,,,2.15,No,0.8,
,3.66,5.32,32,2.3,tech.csv,,,USER-00109,Low,,No,,Fair,,Other,,Neutral,6.98,,,4.63,Yes,3.31,
,0.36,9.69,29,10.74,tech.csv,,,USER-00110,High,,No,,Good,,Male,,Positive,6.28,,,5.88,Yes,6.35,
,3.06,7.4,44,9.14,tech.csv,,,USER-00111,Low,,Yes,,Good,,Male,,Neutral,5.42,,,3.0,No,2.99,
,0.17,9.18,19,11.45,tech.csv,,,USER-00112,Low,,No,,Excellent,,Female,,Positive,8.71,,,10.11,No,7.19,
,0.74,6.03,20,10.68,tech.csv,,,USER-00113,Medium,,Yes,,Fair,,Male,,Positive,6.99,,,11.98,No,1.87,
,1.96,7.03,50,7.94,tech.csv,,,USER-00114,High,,No,,Poor,,Other,,Positive,8.55,,,3.69,Yes,2.21,
,0.95,1.57,53,11.8,tech.csv,,,USER-00115,High,,Yes,,Good,,Female,,Positive,7.17,,,3.29,Yes,0.12,
,0.09,2.29,53,2.96,tech.csv,,,USER-00116,Medium,,Yes,,Excellent,,Other,,Negative,8.64,,,1.55,Yes,2.21,
,1.61,8.39,56,1.39,tech.csv,,,USER-00117,Medium,,No,,Good,,Other,,Positive,5.94,,,4.37,No,2.39,
,3.15,5.75,19,13.1,tech.csv,,,USER-00118,Low,,No,,Good,,Male,,Neutral,5.4,,,11.14,Yes,6.27,
,2.05,0.05,54,14.28,tech.csv,,,USER-00119,High,,No,,Excellent,,Female,,Neutral,4.56,,,5.52,Yes,0.5,
,0.69,7.34,45,3.19,tech.csv,,,USER-00120,High,,Yes,,Poor,,Male,,Negative,8.59,,,1.28,Yes,7.18,
,2.19,5.16,61,8.79,tech.csv,,,USER-00121,Medium,,No,,Fair,,Female,,Positive,5.51,,,5.7,No,4.07,
,3.18,6.51,59,5.55,tech.csv,,,USER-00122,High,,Yes,,Excellent,,Other,,Neutral,4.4,,,1.66,Yes,7.38,
,2.17,9.93,54,9.28,tech.csv,,,USER-00123,Low,,No,,Fair,,Male,,Neutral,7.25,,,4.54,No,3.84,
,0.91,3.36,29,3.76,tech.csv,,,USER-00124,Medium,,No,,Good,,Other,,Neutral,6.09,,,4.63,Yes,4.27,
,1.83,7.64,19,9.98,tech.csv,,,USER-00125,Low,,No,,Good,,Other,,Negative,5.93,,,4.41,No,1.93,
,2.75,8.86,34,5.58,tech.csv,,,USER-00126,High,,Yes,,Excellent,,Female,,Negative,4.49,,,4.31,No,0.94,
,3.7,4.1,62,14.55,tech.csv,,,USER-00127,High,,No,,Excellent,,Other,,Positive,6.15,,,8.14,Yes,2.69,
,2.61,9.0,20,13.17,tech.csv,,,USER-00128,Medium,,Yes,,Fair,,Other,,Positive,5.57,,,10.84,Yes,1.7,
,2.91,3.6,18,8.63,tech.csv,,,USER-00129,High,,No,,Excellent,,Female,,Neutral,4.26,,,4.88,Yes,0.07,
,4.5,8.66,42,4.34,tech.csv,,,USER-00130,Low,,No,,Good,,Male,,Positive,6.36,,,6.12,No,6.7,
,2.72,4.56,58,5.93,tech.csv,,,USER-00131,High,,No,,Fair,,Female,,Neutral,8.99,,,3.08,No,0.77,
,4.33,4.44,47,8.62,tech.csv,,,USER-00132,Medium,,No,,Excellent,,Other,,Positive,4.34,,,11.0,Yes,1.64,
,1.76,8.4,63,1.05,tech.csv,,,USER-00133,Medium,,Yes,,Good,,Male,,Positive,5.86,,,5.81,Yes,1.44,
,4.9,9.93,48,8.57,tech.csv,,,USER-00134,Low,,No,,Fair,,Female,,Neutral,4.48,,,8.64,No,1.18,
,3.58,9.26,25,13.65,tech.csv,,,USER-00135,Low,,Yes,,Good,,Male,,Neutral,6.31,,,4.81,No,7.0,
,1.87,8.47,50,1.78,tech.csv,,,USER-00136,Medium,,No,,Poor,,Male,,Neutral,8.57,,,11.63,Yes,3.33,
,3.72,3.01,46,9.45,tech.csv,,,USER-00137,Medium,,No,,Good,,Male,,Negative,5.09,,,2.01,No,0.32,
,4.41,6.12,45,14.73,tech.csv,,,USER-00138,Low,,No,,Good,,Other,,Negative,5.52,,,5.79,No,0.3,
,4.5,4.86,64,13.11,tech.csv,,,USER-00139,High,,No,,Fair,,Female,,Positive,5.16,,,11.59,Yes,5.33,
,0.4,2.5,26,14.89,tech.csv,,,USER-00140,Medium,,No,,Poor,,Female,,Neutral,5.22,,,11.84,No,6.76,
,0.96,6.07,20,3.32,tech.csv,,,USER-00141,Low,,No,,Excellent,,Other,,Positive,8.66,,,10.94,No,3.41,
,1.18,2.91,56,3.36,tech.csv,,,USER-00142,Low,,No,,Excellent,,Other,,Neutral,4.67,,,2.42,No,2.68,
,0.8,9.58,39,10.08,tech.csv,,,USER-00143,High,,No,,Fair,,Other,,Neutral,4.1,,,3.74,Yes,1.28,
,3.04,0.66,35,9.99,tech.csv,,,USER-00144,Medium,,Yes,,Poor,,Female,,Neutral,8.97,,,4.02,Yes,5.24,
,2.09,5.6,38,13.41,tech.csv,,,USER-00145,High,,Yes,,Good,,Male,,Positive,4.7,,,11.49,Yes,4.36,
,4.59,8.41,58,13.92,tech.csv,,,USER-00146,High,,No,,Fair,,Other,,Neutral,5.32,,,5.46,No,1.28,
,2.83,8.03,63,6.26,tech.csv,,,USER-00147,Low,,No,,Poor,,Male,,Negative,8.61,,,6.91,Yes,5.97,
,1.54,0.44,52,2.56,tech.csv,,,USER-00148,Medium,,No,,Excellent,,Other,,Neutral,7.35,,,2.17,Yes,6.89,
,4.97,9.98,64,11.34,tech.csv,,,USER-00149,High,,No,,Good,,Female,,Positive,6.93,,,9.45,Yes,2.64,
,3.23,5.22,55,3.42,tech.csv,,,USER-00150,Medium,,Yes,,Excellent,,Male,,Neutral,5.57,,,10.41,Yes,6.62,
,3.8,1.29,25,13.15,tech.csv,,,USER-00151,High,,Yes,,Good,,Male,,Negative,4.03,,,10.5,Yes,6.98,
,0.27,2.58,39,14.82,tech.csv,,,USER-00152,Low,,No,,Poor,,Female,,Neutral,5.43,,,1.68,No,2.08,
,4.48,6.62,35,4.84,tech.csv,,,USER-00153,Medium,,No,,Fair,,Male,,Neutral,4.06,,,3.46,No,1.32,
,2.9,2.66,52,8.53,tech.csv,,,USER-00154,Medium,,No,,Good,,Male,,Negative,8.59,,,2.15,Yes,6.29,
,1.54,9.22,50,6.33,tech.csv,,,USER-00155,Medium,,No,,Excellent,,Other,,Neutral,8.55,,,3.37,No,6.3,
,2.87,0.84,63,1.8,tech.csv,,,USER-00156,High,,Yes,,Good,,Female,,Neutral,4.08,,,2.47,Yes,3.28,
,1.57,1.24,63,3.0,tech.csv,,,USER-00157,Low,,Yes,,Poor,,Other,,Neutral,8.6,,,2.63,No,0.03,
,3.72,8.57,35,5.42,tech.csv,,,USER-00158,Low,,No,,Poor,,Female,,Negative,8.37,,,6.57,No,0.33,
,4.05,9.94,42,3.04,tech.csv,,,USER-00159,Medium,,Yes,,Good,,Other,,Positive,6.13,,,3.82,Yes,2.56,
,2.73,9.5,53,8.41,tech.csv,,,USER-00160,Medium,,Yes,,Fair,,Male,,Positive,6.07,,,1.57,Yes,0.84,
,3.31,3.74,28,14.39,tech.csv,,,USER-00161,Medium,,No,,Poor,,Female,,Neutral,6.77,,,5.73,Yes,1.04,
,0.02,6.52,56,13.22,tech.csv,,,USER-00162,Medium,,No,,Excellent,,Other,,Positive,4.86,,,8.36,Yes,3.87,
,3.26,3.64,35,6.7,tech.csv,,,USER-00163,Low,,No,,Good,,Male,,Negative,6.54,,,9.69,No,2.26,
,1.3,0.48,39,12.95,tech.csv,,,USER-00164,Low,,Yes,,Fair,,Male,,Neutral,8.01,,,4.04,Yes,7.93,
,0.56,0.96,34,12.18,tech.csv,,,USER-00165,High,,Yes,,Fair,,Female,,Neutral,4.09,,,11.87,No,0.2,
,0.36,2.26,56,11.91,tech.csv,,,USER-00166,Medium,,No,,Poor,,Other,,Neutral,6.13,,,11.36,Yes,4.62,
,1.28,2.92,26,12.54,tech.csv,,,USER-00167,High,,Yes,,Excellent,,Male,,Neutral,5.91,,,8.57,Yes,7.76,
,3.84,7.87,29,4.52,tech.csv,,,USER-00168,Low,,Yes,,Fair,,Male,,Neutral,7.2,,,5.56,Yes,6.75,
,1.35,5.72,29,10.08,tech.csv,,,USER-00169,Low,,No,,Excellent,,Female,,Negative,8.78,,,4.04,No,2.0,
,1.66,2.56,46,7.14,tech.csv,,,USER-00170,High,,No,,Fair,,Male,,Neutral,6.74,,,5.43,No,0.01,
,4.83,8.59,51,10.72,tech.csv,,,USER-00171,High,,No,,Good,,Female,,Neutral,5.34,,,9.73,Yes,5.65,
,3.25,0.78,55,7.68,tech.csv,,,USER-00172,High,,No,,Poor,,Female,,Negative,8.18,,,7.22,No,5.78,
,4.54,3.64,33,5.19,tech.csv,,,USER-00173,Low,,Yes,,Good,,Male,,Negative,5.01,,,8.6,No,1.11,
,2.01,3.77,18,7.6,tech.csv,,,USER-00174,Low,,No,,Excellent,,Female,,Negative,8.07,,,10.93,No,6.34,
,4.32,5.02,29,12.0,tech.csv,,,USER-00175,High,,Yes,,Fair,,Male,,Neutral,7.68,,,3.66,Yes,2.12,
,2.98,5.49,30,2.48,tech.csv,,,USER-00176,Medium,,No,,Good,,Male,,Neutral,5.43,,,2.48,Yes,2.44,
,1.14,3.0,27,7.86,tech.csv,,,USER-00177,Low,,No,,Fair,,Male,,Negative,8.39,,,6.16,Yes,4.18,
,3.98,6.08,26,13.22,tech.csv,,,USER-00178,Low,,No,,Excellent,,Male,,Negative,5.78,,,7.18,No,7.8,
,3.04,7.89,21,13.93,tech.csv,,,USER-00179,Medium,,Yes,,Good,,Male,,Positive,8.19,,,5.9,Yes,4.77,
,3.89,1.94,38,5.0,tech.csv,,,USER-00180,High,,Yes,,Excellent,,Female,,Neutral,6.2,,,8.38,Yes,1.47,
,2.24,6.23,61,5.52,tech.csv,,,USER-00181,Medium,,No,,Fair,,Male,,Neutral,4.43,,,6.75,No,6.17,
,0.45,1.61,49,11.63,tech.csv,,,USER-00182,High,,Yes,,Good,,Male,,Neutral,7.8,,,4.29,Yes,0.35,
,1.25,2.91,54,1.17,tech.csv,,,USER-00183,High,,No,,Good,,Other,,Neutral,4.55,,,9.89,Yes,6.48,
,1.66,1.06,26,4.61,tech.csv,,,USER-00184,Low,,No,,Excellent,,Male,,Negative,7.97,,,1.03,Yes,4.85,
,1.62,7.24,65,1.4,tech.csv,,,USER-00185,Low,,No,,Fair,,Other,,Neutral,5.2,,,7.58,No,7.92,
,2.25,3.84,35,11.45,tech.csv,,,USER-00186,Medium,,Yes,,Fair,,Male,,Neutral,5.93,,,9.17,Yes,5.48,
,1.19,0.1,51,3.88,tech.csv,,,USER-00187,Medium,,No,,Excellent,,Male,,Neutral,8.14,,,2.21,No,5.12,
,2.46,4.0,59,10.91,tech.csv,,,USER-00188,Medium,,No,,Poor,,Female,,Neutral,8.79,,,5.77,No,2.18,
,1.0,8.09,42,13.11,tech.csv,,,USER-00189,Low,,Yes,,Good,,Female,,Positive,5.84,,,4.63,No,2.22,
,0.25,7.09,50,2.39,tech.csv,,,USER-00190,High,,Yes,,Poor,,Male,,Neutral,4.3,,,11.95,Yes,1.87,
,0.17,6.41,53,1.84,tech.csv,,,USER-00191,Medium,,No,,Good,,Female,,Neutral,7.71,,,4.62,Yes,0.96,
,0.71,4.4,37,4.35,tech.csv,,,USER-00192,Medium,,Yes,,Good,,Other,,Positive,8.74,,,7.96,No,5.36,
,2.46,5.81,25,13.65,tech.csv,,,USER-00193,Low,,Yes,,Excellent,,Female,,Negative,8.97,,,7.44,No,6.36,
,4.31,2.02,49,12.85,tech.csv,,,USER-00194,High,,Yes,,Excellent,,Male,,Neutral,7.37,,,8.22,Yes,4.6,
,3.42,3.27,64,4.27,tech.csv,,,USER-00195,High,,No,,Fair,,Female,,Positive,7.02,,,8.11,Yes,6.28,
,1.26,5.13,46,6.28,tech.csv,,,USER-00196,High,,Yes,,Excellent,,Male,,Positive,5.7,,,10.59,No,7.1,
,2.14,5.38,65,1.45,tech.csv,,,USER-00197,High,,Yes,,Poor,,Other,,Neutral,6.16,,,11.86,No,4.95,
,2.69,7.01,65,11.5,tech.csv,,,USER-00198,High,,No,,Excellent,,Female,,Neutral,7.47,,,11.84,Yes,0.79,
